I m inviting you to make an uncomfortable momentary alliance in order to avoid an irreparable Constitutional catastroph	31	Neutral	4	7	2018	Thu Aug 23 10:41:15 ART 2018	IreneEggink	Colorado, USA 
Reminder  Early Voting is underway  Vote now through August    find out where and when    Be Elect	3	Positivo	4	7	2018	Thu Aug 23 10:41:15 ART 2018	LWVMiamiDade	Miami, Florida 
The Democrat ISIS Party   Walk Away   Thursday Thoughts	65	Positivo	4	7	2018	Thu Aug 23 10:41:14 ART 2018	JoanneTirado09	Paradise 
I am in Colombia  I vote from abroad  I vote in NY  where I m registered  I check the status of my registration every year	4	Neutral	4	7	2018	Thu Aug 23 10:41:14 ART 2018	Sangfroid76	- 
I m sick and tired of Trump supporters bashing President Obama  This man inherited a recession  Passed ACA and ARRA  which	186	Positivo	4	7	2018	Thu Aug 23 10:41:14 ART 2018	LaPalme2	Detroit, MI 
Turtle totem gourd shield     Thursday Thoughts   TURTLE   gourdart   epiconetsy   List My Etsy   etsy RT   etsymntt	0	Neutral	4	7	2018	Thu Aug 23 10:41:14 ART 2018	candythomasgou1	Arcanum, OH 
Code enforcement and when we may be driving on the new bridge in Surf City  North Carolina   Thursday Thoughts	0	Positivo	4	7	2018	Thu Aug 23 10:41:14 ART 2018	CrumplerRealtor	Surf City, NC 
The  democ RATS  always say if getting rid of guns saves just one life it will be worth it so      If building a wall w	12	Positivo	4	7	2018	Thu Aug 23 10:41:13 ART 2018	VanbeckVance	- 
Thursday Thoughts     The dream was the crumbling face behind the mask I wore every day as I tried to be the strong  resili	1	Positivo	4	7	2018	Thu Aug 23 10:41:13 ART 2018	TuesWithLaurie	Boise, ID 
The NY Times DELETES The Immigration Status Of Mollie Tibbetts Killer They Didn t Want YOU To Know He s A ILLEGAL ALIEN	379	Negativo	4	7	2018	Thu Aug 23 10:41:13 ART 2018	DanMcCaughan	New York, USA 
Enjoy where you are at on the way to where you are going     quote   Thursday Thoughts	1	Neutral	4	7	2018	Thu Aug 23 10:41:13 ART 2018	tim_fargo	x Inc    winner 
She gonna be backkkkkk   My intuitions    Yep  once she only told that  humare paas intuitions hoti hai  Remember	1	Neutral	4	7	2018	Thu Aug 23 10:41:13 ART 2018	devikanjilal361	Maharashtra, India 
Fake friends are no different than shadows  They stick around during your brightest moments  but disappear during your darkest	145	Negativo	4	7	2018	Thu Aug 23 10:41:12 ART 2018	bris_king	Jamaica 
Thursday Thoughts  This was a rage inducing   harrowing tweet to read especially when one pauses to consider that it	313	Neutral	4	7	2018	Thu Aug 23 10:41:11 ART 2018	EddieREdgerton1	Cocoa, Fl, USA 
Care about what other people think and you will always be their prisoner    Lao Tzu  quote   Thursday Thoughts	0	Neutral	4	7	2018	Thu Aug 23 10:41:11 ART 2018	AndyVanDyke	Amsterdam, the Netherlands 
PGA Golf   FedEx Cup Playoffs Prize Money Up for Grabs    Thursday Thoughts	0	Positivo	4	7	2018	Thu Aug 23 10:41:10 ART 2018	kimsanger1	NJ 
BREAKING  As of   a m  this morning  Republicans have a      vote lead in Florida early voting   We must defeat the d	333	Neutral	4	7	2018	Thu Aug 23 10:41:10 ART 2018	Dollfinish	- 
John Legere  Rock Star Status  Paid over   for a useless iPhone from the crooked     partnership to rip off con	1	Negativo	4	7	2018	Thu Aug 23 10:41:09 ART 2018	TwitItalianWine	Fiume Veneto 
Taking a walk   Thursday Thoughts	3	Neutral	4	7	2018	Thu Aug 23 10:41:08 ART 2018	ShivaraoR	Manipal, Karnataka ,India 
